FIPS,COUNTY,STATE,ADDRESS,DROPBOXES NAME,TIME & INSTRUCTIONS,ObjectId,x,y
13131,Grady,GA,"250 N. Broad St. Cairo, GA 39828",Courthouse,At courthouse. Drive up drop box.24/7. Signs indicate location,200,-83.7098599804507,34.0015900060663
13133,Greene,GA,"1180 C Weldon Smith Drive Suite 120 Greensboro, GA 30642",Office Building,"Secure box in lobby 8-5, M-F, in same building as Drivers Services Note: This Dropbox may not be open 24/7",201,-83.1933999635183,33.566130019344
13135,Gwinnett,GA,"455 Grayson Hwy Suite 200 Lawrenceville, GA 30045",Voter Registration and Elections Bldg.,No Information Avaliable,202,-83.9825940334332,33.9386689868627
13135,Gwinnett,GA,"2750 Pleasant Hill Rd. Duluth, GA 30096",Shorty Howell Park Activity Bldg,No Information Avaliable,203,-84.1491769828148,33.9735820025823
13135,Gwinnett,GA,"1063 Rockbridge Rd. SW Stone Mtn, GA 30087",Mountain Park Acquatic Ctr,No Information Avaliable,204,-84.1331373666858,33.8458267537668
13135,Gwinnett,GA,"4651 Britt Rd Norcross, GA 30093",Lucky Shoals Park Community Ctr,No Information Avaliable,205,-84.1978900056768,33.8821299904892
13135,Gwinnett,GA,"4515 Lenora Church Rd. Snellville, GA 30039",Lenora Park Gym,No Information Avaliable,206,-84.0029540115812,33.7943609866037
13135,Gwinnett,GA,"55 Buford Hwy Suwanee, GA 30024",George Pierce Park Community Ctr.,No Information Avaliable,207,-84.0526502944206,34.0730608175959
13135,Gwinnett,GA,"2735 Old Auburn Ave. Dacula, GA 30019",Dacula Park Activity Bldg.,No Information Avaliable,208,-83.8929820173441,33.9960809998335
13135,Gwinnett,GA,"2723 N. Bogan Rd NE Buford, GA 30519",Bogan Park Community Center,No Information Avaliable,209,-83.9708347836318,34.10802810863
13135,Gwinnett,GA,"1001 Lawrenceville Highway Lawrenceville, GA 30046",Lawrenceville Library,No Information Avaliable,210,-84.014599999995,33.9423300000993
13135,Gwinnett,GA,"2780 Five Forks Trickum Road Lawrenceville, GA 30044",Five Forks Library,No Information Avaliable,211,-84.0550460312148,33.893353987659
13135,Gwinnett,GA,"265 Dacula Road Dacula, GA 30019",Dacula Library,No Information Avaliable,212,-83.8990129639035,33.994215985184
13135,Gwinnett,GA,"3690 Braselton Highway Dacula, GA 30019",Hamilton Mill Library,No Information Avaliable,213,-83.9032256933785,34.069370480323
13135,Gwinnett,GA,"455 Camp Perrin Road Lawrenceville, GA 30043",Collins Hill Library,No Information Avaliable,214,-84.0022640138149,34.0155359845506
13135,Gwinnett,GA,"2100 Buford Highway Buford, GA 30518",Buford-Sugar Hill Library,No Information Avaliable,215,-84.0000149808898,34.1105000132862
13135,Gwinnett,GA,"361 Main Street Suwanee, GA 30024",Suwanee Library,No Information Avaliable,216,-85.0946900268464,33.2804900141908
13135,Gwinnett,GA,"3840 Duluth Park Lane Duluth, GA 30096",Duluth Library,No Information Avaliable,217,-84.1454200001245,34.0036599999943
13135,Gwinnett,GA,"5570 Spalding Drive Peachtree Corners, GA 30092",Peachtree Corners Library,No Information Avaliable,218,-84.2243240144836,33.9695459899238
13135,Gwinnett,GA,"6025 Buford Highway Norcross, GA 30071",Norcross Library,No Information Avaliable,219,-84.2179430384754,33.9344849918059
13135,Gwinnett,GA,"4817 Church Street NW Lilburn, GA 30047",Lilburn Library,No Information Avaliable,220,-84.1385567644543,33.8920357156979
13135,Gwinnett,GA,"1210 Pounds Road Lilburn, GA 30047",Mountain Park Library,No Information Avaliable,221,-84.1208845914505,33.8463927275956
13135,Gwinnett,GA,"3025 Bethany Church Road Snellville, GA 30039",Centerville Library,No Information Avaliable,222,-84.0506741777637,33.8175908139345
13135,Gwinnett,GA,"2740 Lenora Church Road Snellville, GA 30078",Snellville Library,No Information Avaliable,223,-84.0128610026404,33.8444589931343
13135,Gwinnett,GA,"700 Grayson Parkway Grayson, GA 30017",Grayson Library,No Information Avaliable,224,-83.9635999706241,33.8887500178532
13137,Habersham,GA,"130 Jacob's Way, Ste 101 Clarkesville, GA 30523",Office Building,Drop off in person at office Note: This Dropbox may not be open 24/7,225,-83.9654940019254,34.8908778847443
13139,Hall,GA,"2875 Browns Bridge Rd Gainesville, GA 30504",County Government Center,"The box is located in front of the Government Center so that people can drive up, left lane under overhang and drop in the ballot 24/7",226,-83.8769640326471,34.2776380128224
13139,Hall,GA,"6488 Spout Springs Rd. Flowery Branch, GA 30542",Spout Springs Library,Secure metal dropboxes inside to drop ballots and applications (also one of the early voting locations). Other dropbox locations were closed. Note: This Dropbox may not be open 24/7,227,-83.8942989816866,34.1523009834404
13141,Hancock,GA,"9091 East Broad Street, P.O. Box 118 Sparta, GA 31087",Office Building,No Information Avaliable,228,-82.9698599704526,33.2758199951025
13143,Haralson,GA,"4485 Ga. Hwy 120 Buchanan, GA 30113",Haralson County Courthouse,Metal box in lobby on the left in front of security office. Avail 8:30-5:00 M-F. Courthouse is located near Veterans Park on Hwy 120 near Hwy 27 Note: This Dropbox may not be open 24/7,229,-84.1655578491573,34.025423404647
13145,Harris,GA,"104 N. College St. Hamilton, GA 31811",Board of Elections,Drop ballots and apps 24/7 on porch in slot on wall of building. Ballots fall into container in office of registrar. Elections Office is next to courthouse in town.,230,-84.8745599595476,32.7591899936681
13147,Hart,GA,"182 Cade Street, Suite B Hartwell, GA 30643",Elections Office,"outside, 24-7; in front of Elections Office door, across from hospital (green box with white lid)",231,-82.9399457723525,34.3477876380721
13149,Heard,GA,"215 East Court Sq. Franklin, GA 30217",Elections Office,"Ballots and Applications accepted. Open M-F, 8:30-5. Drive to curb on the backside of the courthouse and employee will come out to get your ballot (they see drivers pull up). No need to get out of car. Ballot immediately processed (not tallied) and placed in lock box in office- voter can confirm on My Voter Page. Note: This Dropbox may not be open 24/7",232,-85.0978500044702,33.279260012174
13151,Henry,GA,"40 Atlanta St. McDonough, GA 30253",Henry County Elections and Registration Office,Outside 24-7. In front of Elections Office front door. Can submit applications and ballots,233,-84.1478050334921,33.4489379794455
13153,Houston,GA,"200 Carl Vinson Pkwy Warner Robins, GA 31088",Houston County Annex,Lobby (8:30 a.m. – 5:00 p.m. M-F and Election Day 7:00 a.m. – 7:00 p.m.) Note: This Dropbox may not be open 24/7,234,-83.6641299931527,32.5964500211987
13153,Houston,GA,"801 Main St. Perry, GA 31069",Board of Elections,Lobby (8:00 a.m. – 5:00 p.m. M-F and Election Day 7:00 a.m. – 7:00 p.m.) Note: This Dropbox may not be open 24/7,235,-83.733810010953,32.457779982389
13153,Houston,GA,"233 N. Houston Road Warner Robins, GA 31093",Houston Health Pavilion Conference Center - Cary W. Martin Conference Center,"8:00 am – 5:00 pm. M-F, and Election Day 7:00 am – 7:00 pm Note: This Dropbox may not be open 24/7",236,-83.641770008551,32.6210499844838
13155,Irwin,GA,"507-C North Irwin Ave Ocilla, GA 31774",Elections Office,"Dropbox in front of Elections Office; Outdoor, 24-7; monitored",237,-83.2501199669517,31.6000499819384
13157,Jackson,GA,"441 Gordon Street Jefferson, GA 30549",County Elections Office (outside),Outside 24/7,238,-85.1489500262136,33.7304700138329
13157,Jackson,GA,"5488 US 441 S Nicholson, GA 30565",Nicholson City Hall,Outside 24/7,239,-82.8559334099768,31.2168926515
13157,Jackson,GA,"69 W Jackson Road Braselton, GA 30517","West Jackson Fire Dept, Station 1",Outside 24/7,240,-83.7609829676243,34.1054899824285
